method,feasible,total_bps,jain,objective,users,beams
hga,True,407822478,0.1478,303557674.51,100,8
pbig,True,1319064191,0.608,1163936051.12,100,8
ga,True,353085775,0.0961,257340892.12,100,8
max_sinr,True,1516452523,0.7076,1383428692.4,100,8
random,True,70544611,0.1139,51792309.25,100,8
