method,feasible,total_bps,jain,objective,users,beams
hga,True,1373156804,0.1743,1033016043.96,370,8
pbig,True,4778586051,0.5674,4158355376.26,370,8
ga,True,1229275117,0.1335,909740871.72,370,8
max_sinr,True,5134514336,0.6354,4572936222.89,370,8
random,True,408552020,0.1245,301246774.61,370,8
