user,gnb,beam,bps
0,0,1,14324842.637626538
1,0,6,8044355.065477202
2,6,1,27956249.206279583
3,4,7,7899647.402087787
4,6,2,13615581.92269397
5,1,7,11793903.713843398
6,0,7,19747292.612170756
7,6,1,62028382.27302967
8,2,1,26761901.65271947
9,2,6,16972834.68174809
10,3,2,7471591.152569372
11,4,5,7173318.755571038
12,4,7,7304816.867140055
13,2,1,10888025.571379436
14,3,3,9084933.896279063
15,5,1,6273816.852295092
16,2,5,21145519.863658912
17,0,2,11987238.47940081
18,0,3,9542551.28879047
19,5,5,7886989.187818443
20,0,7,8050135.965772384
21,3,5,5788648.367122396
22,0,7,6786054.384376842
23,4,4,10783605.999581557
24,4,0,15100693.114178797
25,3,4,13467743.384399844
26,6,5,34459727.4522112
27,6,7,6625880.353425237
28,1,3,5855362.424017358
29,0,0,10025163.012834834
30,1,3,7031479.776354746
31,3,3,6009514.7501399005
32,4,0,7882404.023838703
33,0,1,14692436.93324424
34,4,5,10301547.743978081
35,4,5,12975480.77737924
36,3,2,10082382.317614686
37,4,6,16386156.030893246
38,3,1,13459147.150775388
39,3,4,8455539.101277921
40,4,1,7451869.210240638
41,0,4,40524960.20886657
42,1,3,7756043.756727621
43,5,4,11470377.840490915
44,4,2,4697513.905377846
45,4,5,7516918.9900137605
46,3,1,34166114.7752767
47,2,6,6913584.534243878
48,6,5,5432986.702612562
49,0,6,13406345.506346984
50,1,1,8911006.947673572
51,0,1,16445391.759442467
52,0,1,24623182.82696787
53,2,1,40620461.35898824
54,4,6,12036802.57595575
55,3,0,20136549.262219366
56,6,1,4415937.294408201
57,5,0,9700156.176290777
58,6,5,7220368.2669714205
59,0,5,23192372.370321188
60,5,4,12683502.316669254
61,2,4,12916810.301909871
62,3,5,17241477.90788776
63,6,6,8277696.543195752
64,4,3,12434482.501229184
65,4,7,6755444.2452387
66,6,0,8289272.546841231
67,6,0,22916725.46713147
68,5,2,23704058.37442176
69,1,7,15495740.829711098
70,0,5,5158693.448034077
71,3,4,10605421.853693705
72,0,0,7096241.0055420045
73,3,2,11017225.031410491
74,5,7,41503031.183695175
75,1,2,7605093.835659282
76,5,7,9171236.563441975
77,4,4,27161723.146278635
78,0,3,71601452.66491923
79,5,5,13305696.061199069
80,5,4,7148325.1882734755
81,6,4,23921550.21061907
82,3,3,15553065.113724036
83,1,2,7807186.818143912
84,6,3,25096978.622462284
85,1,0,8757083.189481784
86,0,1,9167154.437226977
87,4,0,18573721.3487711
88,0,4,7210553.751777262
89,1,3,9321812.771103535
90,0,0,10813909.899426606
91,1,2,5690223.083024048
92,1,6,11029345.698167289
93,0,0,10901164.247661116
94,6,4,11091703.503898522
95,4,4,12470297.97808526
96,3,2,5606847.28131891
97,5,3,35822989.39702042
98,0,6,19834420.018070683
99,3,1,12697705.158913666
100,0,4,14425376.12938809
101,1,4,22882324.413293615
102,6,5,24071354.390375175
103,2,0,7078137.308604308
104,5,5,19820868.453308832
105,1,5,21647422.73485042
106,5,0,17769280.414874826
107,6,4,5690495.469021533
108,0,4,16631853.45338381
109,0,0,11112539.483191164
110,0,4,13917861.533051059
111,1,6,20770683.179688595
112,3,2,9375740.379611973
113,5,4,32126489.66427314
114,0,6,4633372.336869317
115,0,0,12049396.994328558
116,5,3,8239805.449074454
117,0,7,5822185.545713488
118,0,1,8638460.261386527
119,0,0,6600078.435415797
120,0,5,32920820.151647568
121,3,4,17143067.51288621
122,3,0,19471057.39682816
123,0,4,12972089.42695027
124,5,5,13457937.392080398
125,0,7,8635125.966119217
126,1,3,26213086.010428697
127,0,2,16958214.9586077
128,0,5,17196419.81041461
129,2,3,22965287.186994195
130,3,2,7813374.333844324
131,3,3,11978926.048426403
132,1,6,14431271.001059182
133,0,0,25350388.657606248
134,6,5,13601462.184291983
135,3,5,7168897.643594249
136,0,6,4767952.650048502
137,0,0,18301332.62353785
138,4,1,9344637.36108244
139,5,6,5258348.451569122
140,4,0,18356467.620806757
141,0,4,6905391.647669272
142,0,4,19310061.323774144
143,6,1,17071720.155252982
144,0,4,9093876.51974424
145,6,0,7415738.377933559
146,3,0,35089618.06079437
147,0,6,15360428.911013186
148,2,6,18031682.835842356
149,0,2,84523434.26042381
150,2,7,14736353.361787653
151,1,5,16849928.08528157
152,5,2,18412076.382383846
153,6,2,9586682.381489087
154,4,3,10492531.906406447
155,3,5,6642748.35736844
156,3,6,22789197.716101963
157,1,4,6958670.048280765
158,0,7,6385370.9307471225
159,2,6,37196607.41330778
160,2,6,27344357.228678755
161,6,4,8933590.642298818
162,4,7,30226017.957880232
163,0,5,14277514.702362737
164,3,5,8742300.50346962
165,0,1,11353716.861756532
166,0,7,40622850.814360075
167,0,1,18734882.368828513
168,3,1,4694687.595101617
169,2,2,10952577.386343526
170,3,1,11359766.273219453
171,4,4,9980228.615411388
172,6,7,16355447.92710883
173,6,2,5355857.505140036
174,0,1,6611830.008304926
175,0,2,36590124.51617556
176,0,7,6758004.796361518
177,0,3,10434791.050036715
178,5,4,18840518.25136643
179,0,5,9312645.797178997
180,4,1,11301430.284689117
181,2,1,12627939.535534017
182,1,0,8391653.28714104
183,3,4,14424932.845787566
184,6,4,11892472.85254932
185,0,1,11177063.294472223
186,1,3,12683040.073800493
187,4,7,18320122.599747248
188,0,6,9940047.562446978
189,5,2,9827552.489761446
190,3,5,12293285.590833247
191,0,0,9740790.393350983
192,1,3,9640019.905444996
193,5,3,7565951.78694229
194,3,6,13244171.529098958
195,3,1,5832685.981460027
196,4,0,7030410.249607196
197,5,4,7435520.6924188025
198,0,4,4302348.995049521
199,6,7,12152874.451443039
200,3,7,17579497.994782943
201,0,7,14973454.080551317
202,5,4,17132027.11302424
203,1,5,3844313.22670749
204,6,4,13958428.341453504
205,1,2,38926928.48299111
206,5,3,16453121.611873481
207,2,3,5493865.822627331
208,3,6,5438228.116916457
209,2,2,29454581.735252712
210,1,3,13876506.443399673
211,0,7,6379719.226732737
212,0,5,3668182.0710136252
213,6,7,11446920.879118579
214,1,4,20858014.95049132
215,3,4,14244427.481452813
216,2,2,7593398.113729369
217,0,3,27740154.672330536
218,1,5,12305487.67813817
219,6,6,10337752.55595103
220,0,2,2445902.24277492
221,0,6,5149758.941008953
222,6,1,5664371.235542393
223,6,5,30788321.440217335
224,0,3,18158588.22937772
225,4,4,13127291.264497206
226,5,5,4954471.198564844
227,2,2,9736939.800709581
228,4,6,19578499.229888055
229,5,2,5554783.588046108
230,6,4,21548898.997184053
231,6,0,7283649.985113365
232,3,0,46598365.16580563
233,3,3,43649011.389748454
234,4,1,5004894.898581856
235,3,2,7102502.012654802
236,0,6,10631615.640908564
237,3,1,9654150.413023803
238,5,4,12740959.630468
239,4,4,9916904.752739176
240,2,2,8711811.55065058
241,4,3,5953714.660497528
242,6,5,17673432.896580864
243,4,2,10392926.861116534
244,4,6,9971005.875789931
245,0,2,15180455.030825967
246,6,6,6011566.760938156
247,1,3,9507420.5692026
248,4,6,46044818.228264414
249,3,4,15700381.851173582
250,6,4,10621836.034862911
251,0,5,9676357.308149328
252,0,5,8942727.180532075
253,5,1,21896746.883739326
254,5,3,11984489.295331193
255,0,6,16452619.56817405
256,5,2,2189883.2893403773
257,5,7,28797501.284589067
258,5,6,19875717.04163146
259,0,2,8892250.120300986
260,0,2,6466768.339822782
261,5,7,6990727.249377517
262,0,3,2844948.439272023
263,5,0,21206935.207228515
264,5,2,10114290.594059113
265,0,5,5655413.892257421
266,6,7,25509889.065986272
267,5,6,11945022.622917255
268,0,3,4060307.300986197
269,5,0,8910649.95555239
270,5,6,8856415.737799542
271,4,6,16417378.513032565
272,0,2,9230569.062756712
273,4,3,8138006.882047616
274,5,4,15754867.621390404
275,4,1,16393789.17549922
276,2,6,17129839.403502934
277,5,7,7994697.18490528
278,3,2,5514243.043753197
279,6,4,10516520.113581548
280,6,2,6887005.5770076895
281,4,1,4762062.340413903
282,3,1,11672959.355524795
283,0,2,2694769.134436997
284,6,6,12294573.733409958
285,0,3,6185138.82305831
286,1,5,7083855.026847406
287,3,1,5317216.3794471
288,1,1,30762976.090687405
289,3,0,12584783.75846409
290,4,1,7631776.728048692
291,0,3,2063530.6616487752
292,0,3,45313431.385054424
293,2,5,278069.80799805274
294,6,7,45803711.94265286
295,1,7,5306481.593177355
296,3,2,19210293.75563067
297,2,2,7535941.665760072
298,2,6,6200534.8963210145
299,5,4,36169828.04686551
300,1,7,5771033.238329641
301,6,5,18358469.13106706
302,6,0,13636031.053577274
303,1,7,7078860.0151934335
304,6,7,15965452.313394386
305,3,3,9391590.916161228
306,5,1,6978772.28323156
307,5,2,15551975.85101722
308,3,2,27552843.096168626
309,2,7,3145157.859490477
310,1,4,6640980.614542513
311,2,7,15824496.448123284
312,6,7,5866618.923086354
313,4,5,6174364.0589628415
314,2,1,9788419.702043518
315,3,1,9885274.90677113
316,5,5,14344503.624811688
317,5,3,5605785.448594244
318,6,4,40404680.86733775
319,5,5,1386142.6035062668
320,6,3,9449153.259420507
321,5,6,13838179.4379961
322,1,0,26445236.992952194
323,3,5,4041527.1556808115
324,4,2,38626775.2054686
325,4,6,289625.5990883223
326,6,0,5434693.987052738
327,2,7,2799771.072019783
328,5,7,16240459.259180516
329,1,5,14279529.134620707
330,2,1,1427815.8226111678
331,6,0,5873890.858353136
332,4,6,20860563.170661025
333,6,0,4343395.006367667
334,3,0,6131719.9004081115
335,1,7,22352582.685213324
336,3,3,5962333.383488237
337,1,0,36825.08561346449
338,6,2,15179886.020088322
339,5,2,8935567.988278463
340,1,3,12145966.268134428
341,1,2,22006215.868360765
342,3,0,10671263.827958494
343,1,7,5094716.633049088
344,5,3,13657944.22492782
345,3,5,2944668.9781541945
346,6,5,3099433.0435096957
347,4,0,5022294.980731217
348,4,1,4482923.573483824
349,5,6,8745576.891057039
350,6,2,12406553.039753037
351,2,5,6533245.828422538
352,1,5,5615175.428231648
353,2,1,842380.3426089518
354,1,6,21904510.525530785
355,2,4,22015128.009890206
356,2,1,23309521.081045773
357,5,0,20477311.347906962
358,4,0,7330664.537346407
359,2,6,24887107.20210026
360,1,6,17774143.594175275
361,3,5,8786682.07363418
362,3,3,5617940.831384918
363,4,3,17213017.301432997
364,6,3,39956276.48291258
365,5,2,12830779.238324417
366,1,4,6837140.427626676
367,3,3,1878858.1189384656
368,4,3,8753118.389090538
369,2,3,18903082.643437378
