user,gnb,beam,bps
0,6,4,71205.91429065667
1,0,14,35004.961421150765
2,3,6,58748.072271811696
3,1,10,70423.29364171157
4,3,5,32136.84089799495
5,5,10,23055.764848776314
6,0,4,36440.91742886395
7,6,10,44218.94637096288
8,1,4,58619.739035832325
9,1,1,61998.699511233855
10,6,15,53124.74652583607
11,0,14,45513.95367967606
12,6,2,28282.69162880479
13,2,1,54170.604571966316
14,2,7,44526.291872420436
15,2,3,36510.0737120813
16,1,3,22849.729160550018
17,2,12,57772.72151332933
18,4,8,29180.8324015931
19,2,1,28319.293607006897
