user,gnb,beam,bps
0,0,8,9145315.673720712
1,0,10,3595769.511584646
2,6,5,7409431.688388219
3,4,3,11211170.03612284
4,6,14,19075202.985852756
5,1,13,7862507.934649745
6,0,7,40866620.633870505
7,6,11,22075671.32037387
8,2,8,15313183.450636344
9,2,2,9455327.831049655
10,3,10,8352842.045076593
11,4,11,6009835.408185225
12,0,13,7000461.575170736
13,2,7,41849774.93181552
14,3,1,9507696.73684849
15,5,3,4858528.434648294
16,2,8,7930122.098729288
17,0,14,15410257.908042595
18,0,1,11622512.097052632
19,5,14,6694740.985201269
20,5,2,7483964.429148589
21,0,12,4444300.885501343
22,0,14,6090709.096891091
23,4,9,7684913.406269306
24,4,10,8651615.522901725
25,3,7,16441103.686396824
26,6,15,9878766.933471542
27,6,1,15253332.488179967
28,6,6,3694348.5137933576
29,0,10,36223796.30895519
30,0,5,9367265.141320767
31,3,9,5726854.137449317
32,4,6,7111141.33811409
33,0,8,11005380.728359697
34,4,9,19037932.680351216
35,4,9,11299370.16254325
36,3,13,8439638.555599185
37,5,14,5221948.614304427
38,3,4,6295541.204355208
39,3,6,25620716.03705399
40,3,5,6606134.462834501
41,0,8,16735364.263370756
42,1,8,5323708.4990943475
43,5,13,9845334.172623144
44,4,13,4033880.1486378866
45,4,13,6314372.308745581
46,3,8,8800449.166424064
47,2,15,10599906.002036124
48,6,9,8223462.270635597
49,1,12,6631740.862101062
50,1,7,7044419.786723695
51,0,13,20747785.751002036
52,0,0,10271473.222642016
53,2,15,14903655.214651274
54,4,14,10384623.69002225
55,3,15,16351733.225957384
56,6,9,4659593.120326957
57,5,11,7065275.701782749
58,6,15,4070418.196612162
59,0,14,6115739.5641720425
60,5,3,9993825.051754292
61,3,0,13872002.46783487
62,3,9,3684481.273414189
63,6,4,8159449.306888125
64,4,1,6940348.451634548
65,5,3,5823889.485507819
66,6,9,12278942.40110868
67,6,13,10140525.103771714
68,5,9,15263141.988033809
69,1,14,10376065.505942384
70,2,5,15037094.132288618
71,0,0,7399708.818593125
72,3,10,16823938.58917219
73,2,2,6956688.722302274
74,5,0,12448251.979036732
75,1,13,3773224.6296808366
76,4,0,5526515.314603096
77,4,10,4949461.360882655
78,0,14,12091545.688544255
79,5,3,12003421.94237892
80,5,11,11597787.349885864
81,5,4,13611798.122553676
82,3,11,11597347.514080768
83,1,10,16350857.939235173
84,6,12,11272579.470907466
85,0,12,7635614.181469285
86,0,9,11371449.554685548
87,4,3,10706587.443010168
88,0,5,6108867.786825717
89,1,6,9943740.446488552
90,4,12,5377698.147775375
91,1,0,3930322.915608743
92,1,12,8114338.660666044
93,0,3,9719492.81043703
94,5,6,6906910.539120637
95,3,4,4313622.006543736
96,2,7,9348848.352151224
97,5,10,9006231.28770153
98,0,1,16179550.827450318
99,3,15,16280330.495238645
100,0,4,24069480.158335645
101,1,6,6655248.612272703
102,6,14,12583564.25671232
103,2,8,9014157.992544234
104,5,11,16677078.402139965
105,1,9,7176466.460295018
106,0,8,13025216.856158728
107,6,1,19270253.064440854
108,0,5,5639310.050009773
109,0,14,13264285.028870223
110,0,12,12229267.060886903
111,1,8,4295308.789923895
112,4,14,7560500.459009263
113,5,8,29792098.666077122
114,3,10,7448950.881009839
115,0,1,21140286.58451198
116,5,1,5874775.978838652
117,0,8,11904895.416571504
118,5,2,2585698.412808734
119,6,2,8717750.662953468
120,0,10,5763520.329914719
121,3,12,16708758.774473885
122,3,13,7069339.260656114
123,6,8,11049341.414661724
124,6,14,4231656.200378244
125,0,15,9942533.707208239
126,1,4,6757194.150711995
127,0,6,18247785.450738445
128,0,15,6143784.3752089925
129,2,0,24445706.581987325
130,4,12,5028481.231455403
131,3,7,6915312.713312158
132,1,8,13978922.290258516
133,0,15,7680052.008576679
134,6,1,6978742.545527292
135,3,12,12396187.723946862
136,4,5,10809406.032424396
137,0,2,9584343.942425659
138,4,8,7698743.564741549
139,4,6,4107872.5887838076
140,4,9,29766641.41276581
141,0,7,5287162.508100477
142,0,14,7261761.727034063
143,6,9,14064212.843564104
144,1,14,4384325.671540307
145,6,5,13461577.69922773
146,3,5,17232300.294699196
147,0,2,5601698.832037992
148,2,12,4862125.966476225
149,0,0,7367713.604719879
150,2,11,5977805.846048981
151,1,9,9772462.403454065
152,5,6,4813805.922940565
153,6,9,30095482.792300854
154,4,3,13618298.806698818
155,3,9,10552313.65442585
156,3,12,14287303.296612844
157,1,15,12837874.256495945
158,0,13,18301918.656137273
159,2,12,9698102.829777297
160,2,0,5523217.463046844
161,6,12,10026843.999650532
162,4,5,10373231.09701897
163,0,6,22016014.80624738
164,3,1,15777911.708140962
165,0,15,13032816.27357461
166,0,8,11087299.183772713
167,0,6,10091954.402240362
168,0,7,8531850.406089902
169,1,4,8062175.916080279
170,4,8,3314567.4143472365
171,4,6,8254887.889315026
172,6,0,8503215.019490793
173,6,14,30466074.789011866
174,0,9,8079656.209138906
175,0,14,8037256.619747167
176,0,11,16825800.775920503
177,0,13,5177088.731945853
178,5,5,4105020.28117919
179,0,10,9678244.662785897
180,5,14,5778724.38924263
181,1,13,4903195.494968056
182,1,8,33963992.169253744
183,3,5,8585233.308775704
184,6,1,8840278.904022636
185,2,6,4180842.52299951
186,6,15,5807459.8126761
187,4,8,23983731.98383386
188,6,11,6152685.332568878
189,5,14,4518518.332835636
190,3,14,5050586.911669469
191,3,15,4835689.886969855
192,1,7,5534299.400426386
193,0,9,4948614.32210148
194,3,12,17150699.531114355
195,3,6,4169670.96514783
196,4,13,12954676.439545887
197,5,0,5910007.363204557
198,0,12,7209966.846560472
199,4,10,3348755.9568541585
