method,feasible,total_bps,jain,objective,users,beams
hga,True,336738162,0.2495,260922521.21,60,8
pbig,True,882529731,0.6762,796807427.71,60,8
ga,True,283442674,0.1757,213354023.22,60,8
max_sinr,True,1006525142,0.7214,922410386.26,60,8
random,True,129019314,0.0988,94135943.06,60,8
