user,gnb,beam,bps
0,0,7,7328847.574547012
1,1,4,16024212.493411811
2,6,2,7352771.629775616
3,4,7,12325815.44732983
4,6,6,22612496.160655364
5,1,6,19334036.402785588
6,0,6,22167823.904716574
7,6,1,35476435.08274279
8,2,7,20579863.481564466
9,2,3,14876396.815494286
10,0,5,8609910.599918928
11,4,4,10789867.348042972
12,0,7,26995071.94925387
13,2,4,14097183.824606692
14,3,2,37259398.33766764
15,4,4,8809786.012553813
16,2,0,17383696.26195031
17,0,1,33762173.25677554
18,0,4,12515700.671278642
19,5,2,15745606.000133453
20,5,6,16289476.525022808
21,0,2,16084387.079747533
22,0,7,11090275.53613789
23,4,5,14618219.59982104
24,4,4,13539964.89124464
25,3,1,25021804.095256694
26,6,7,56234604.323189296
27,6,6,13444544.297838168
28,1,1,14929037.791522903
29,0,5,14662037.63919139
30,0,1,18242286.67609765
31,3,3,6902263.286486555
32,3,4,5796495.254738105
33,0,2,30669326.960020237
34,4,4,21145039.926149815
35,4,0,13509670.601317128
36,3,4,29112336.024415396
37,4,7,9476479.22983036
38,3,2,38057033.01493235
39,3,4,10831266.090865375
40,0,1,12789522.884529805
41,0,2,26119938.477023017
42,1,4,8963146.406019386
43,5,7,8679545.776254028
44,5,6,9007616.35728464
45,4,7,25093149.004503105
46,3,1,13661171.059635356
47,2,1,17872550.98052941
48,6,6,10575286.059710577
49,2,2,8085650.225496087
50,1,0,23947503.906259645
51,0,2,6504277.012036168
52,0,4,15925789.518439155
53,2,5,16832620.966928292
54,0,0,5783608.833784053
55,3,5,25001661.09588677
56,0,5,7350733.300687475
57,5,6,10973659.11985313
58,1,2,9602711.212250682
59,0,3,38643868.02400081
60,0,5,9253249.899333728
61,3,3,11966138.992619254
62,3,5,7049975.376405648
63,6,4,11410270.87783856
64,5,5,11357169.150423996
65,5,5,10280308.80782784
66,1,0,11545423.79002848
67,6,1,13916402.45305119
68,5,6,31534791.427721776
69,1,5,9203264.54213073
70,3,0,11875386.275132516
71,0,5,7051974.863092537
72,0,3,28418221.961399265
73,3,3,4667799.837774998
74,5,3,20562681.716263454
75,1,3,9083272.408870915
76,4,1,15070491.739454722
77,4,4,6638088.655196769
78,0,6,13678305.820214594
79,5,1,12348984.578333465
80,5,7,14804113.82800264
81,6,6,15022189.904531779
82,3,6,22658862.011567667
83,1,5,15196206.423043894
84,6,2,26430569.038303982
85,0,6,10807464.470195714
86,0,4,11246437.83459412
87,4,5,42372768.29781111
88,6,5,11761505.185638014
89,1,3,11153703.797188407
90,5,2,8356454.830379067
91,0,0,24026918.330748357
92,1,2,8781531.6342909
93,0,0,20709315.38228925
94,5,7,5742279.163938219
95,0,1,6840297.810933803
96,2,2,8603551.873664755
97,5,2,21416130.217521742
98,0,7,9032054.957949681
99,3,3,33001117.662278987
100,0,1,22212658.791791406
101,1,3,11348936.243500661
102,6,3,46487386.14708201
103,2,6,10258552.178577207
104,5,0,29318251.972204756
105,1,0,10874286.2931233
106,5,7,8217765.609657273
107,6,3,19921425.292524494
108,0,2,6204843.263113882
109,0,2,7812753.692961127
110,0,5,11876472.387910595
111,1,2,6397087.993415202
112,4,3,14012343.879927102
113,5,0,11776675.765697345
114,4,2,5167133.274355273
115,0,2,26366450.32568087
116,5,5,9767206.535103794
117,0,5,18770112.707550768
118,5,4,7115853.454231408
119,6,0,11489886.537360117
120,0,2,15883919.00337477
121,3,3,27382666.07597188
122,3,3,25197680.417518888
123,5,6,5627265.960426961
124,5,0,20731786.89276172
125,0,1,9725569.028061021
126,1,6,14198429.502259674
127,0,5,26839849.819286298
128,0,4,22737100.52057493
129,2,6,10374220.407450838
130,4,0,5956419.003095883
131,3,3,22494806.732911184
132,1,0,26373840.62352575
133,1,6,15335187.6409073
134,6,2,18559003.98683487
135,3,0,28043427.70881245
136,0,6,4259481.855222029
137,0,7,12038472.086489009
138,4,0,10154123.99204106
139,0,4,8431007.657342045
140,4,5,40714989.73851641
141,0,1,7062025.2119341465
142,0,0,20809742.39920525
143,6,0,25670980.680436477
144,1,2,7062630.453854798
145,0,2,23926622.095685557
146,3,3,10110806.589150092
147,0,0,8588254.541001907
148,2,6,21250117.77339175
149,0,4,17640087.355111133
150,2,2,9868406.663795788
151,1,5,7604703.277992577
152,6,5,8931917.219972428
153,6,3,28015117.933337037
154,4,2,25623991.963896267
155,3,4,31989542.4929193
156,3,7,23469060.995925732
157,1,0,26326138.842046928
158,0,6,31276832.86213885
159,2,2,13856695.987964734
160,2,1,28861914.465611678
161,6,2,11984774.21835985
162,4,2,10513660.70081111
163,3,4,5026204.292595736
164,3,0,25971051.578535244
165,0,3,8900802.472551128
166,0,7,22730853.75541138
167,0,1,21043303.018320788
168,4,5,5290875.975201148
169,2,6,6857852.266693314
170,3,1,4511763.049634797
171,4,4,6851479.016153476
172,6,7,18752259.516566657
173,6,6,15511233.903112201
174,0,5,13537169.900383525
175,0,0,10137438.20624107
176,0,5,9875895.917964894
177,0,4,7302321.164772815
178,4,5,11730036.262891045
179,0,0,20037262.101508267
180,4,3,8288416.262410631
181,2,4,9633955.862504138
182,1,5,21749206.408032212
183,3,4,24740450.64030094
184,6,0,14529096.149891684
185,0,6,4775153.754455444
186,0,3,4994745.975975587
187,4,6,11490637.228985107
188,6,2,8658623.81785516
189,5,5,8761726.501757031
190,3,1,23893942.488947015
191,3,1,16706383.459879074
192,1,6,7256459.87605069
193,0,4,10767539.652380414
194,3,5,39089824.12882009
195,3,6,10249266.409779724
196,5,3,10161368.742354464
197,5,4,34034920.97788893
198,6,7,6841444.249902753
199,0,7,16133916.784876619
