method,feasible,total_bps,jain,objective,users,beams
hga,True,217127998,0.4814,183346374.99,20,8
pbig,True,272401428,0.6366,242707514.78,20,8
ga,True,156787850,0.3655,126942119.37,20,8
max_sinr,True,320775493,0.787,300282404.96,20,8
random,True,16782476,0.1312,12408523.16,20,8
