method,feasible,total_bps,jain,objective,users,beams
hga,True,176864148,0.7052,161220900.9,10,8
pbig,True,203047873,0.8077,191333478.86,10,8
ga,True,123893827,0.433,102819669.89,10,8
max_sinr,True,203047873,0.8077,191333478.86,10,8
random,True,11835687,0.1511,8821600.89,10,8
