method,feasible,total_bps,jain,objective,users,beams
hga,True,492789239,0.1391,365517083.2,200,8
pbig,True,2889755988,0.6658,2600048086.76,200,8
ga,True,471932532,0.1069,345494541.87,200,8
max_sinr,True,3203717565,0.7498,2963249249.39,200,8
random,True,156229582,0.142,116014260.95,200,8
