users,hga,pbig,ga,max_sinr,random
10,0.84,0.6576,0.2918,0.4638,0.1134
20,0.3364,0.5123,0.1891,0.2773,0.0646
30,0.2815,0.5405,0.2216,0.1146,0.1248
40,0.2211,0.5003,0.1279,0.1809,0.0883
50,0.1416,0.4557,0.1066,0.1455,0.1045
60,0.1563,0.5149,0.0863,0.2871,0.0254
70,0.1039,0.52,0.0877,0.1706,0.0372
80,0.1034,0.5634,0.0919,0.2213,0.0336
90,0.0979,0.5139,0.0669,0.1725,0.0465
100,0.1426,0.5346,0.0913,0.0671,0.0302
