method,feasible,total_bps,jain,objective,users,beams
hga,True,262264203,0.104,191771305.92,200,16
pbig,True,1849545661,0.6083,1632180430.8,200,16
ga,True,250269561,0.075,180818118.54,200,16
max_sinr,True,2136365106,0.7128,1952305307.27,200,16
random,True,67022057,0.0973,48871770.27,200,16
